dado: 53.620000, bin_esq: 53.600000, bin_dir: 53.700000, local_j = 536
dado: 26.980000, bin_esq: 26.900000, bin_dir: 27.000000, local_j = 269
dado: 46.350000, bin_esq: 46.300000, bin_dir: 46.400000, local_j = 463
dado: 85.700000, bin_esq: 85.700000, bin_dir: 85.800000, local_j = 857
dado: 78.870000, bin_esq: 78.800000, bin_dir: 78.900000, local_j = 788
dado: 92.700000, bin_esq: 92.700000, bin_dir: 92.800000, local_j = 927
dado: 62.080000, bin_esq: 62.000000, bin_dir: 62.100000, local_j = 620
dado: 69.440000, bin_esq: 69.400000, bin_dir: 69.500000, local_j = 694
dado: 23.190000, bin_esq: 23.100000, bin_dir: 23.200000, local_j = 231
dado: 26.830000, bin_esq: 26.800000, bin_dir: 26.900000, local_j = 268
dado: 43.170000, bin_esq: 43.100000, bin_dir: 43.200000, local_j = 431
dado: 69.050000, bin_esq: 69.000000, bin_dir: 69.100000, local_j = 690
dado: 71.250000, bin_esq: 71.200000, bin_dir: 71.300000, local_j = 712
dado: 32.110000, bin_esq: 32.100000, bin_dir: 32.200000, local_j = 321
dado: 31.100000, bin_esq: 31.000000, bin_dir: 31.100000, local_j = 310
dado: 0.780000, bin_esq: 0.700000, bin_dir: 0.800000, local_j = 7
dado: 82.060000, bin_esq: 82.000000, bin_dir: 82.100000, local_j = 820
dado: 64.630000, bin_esq: 64.600000, bin_dir: 64.700000, local_j = 646
dado: 47.450000, bin_esq: 47.400000, bin_dir: 47.500000, local_j = 474
dado: 7.880000, bin_esq: 7.800000, bin_dir: 7.900000, local_j = 78
dado: 65.250000, bin_esq: 65.200000, bin_dir: 65.300000, local_j = 652
dado: 90.200000, bin_esq: 90.200000, bin_dir: 90.300000, local_j = 902
dado: 75.090000, bin_esq: 75.000000, bin_dir: 75.100000, local_j = 750
dado: 51.940000, bin_esq: 51.900000, bin_dir: 52.000000, local_j = 519
dado: 28.780000, bin_esq: 28.700000, bin_dir: 28.800000, local_j = 287
dado: 38.600000, bin_esq: 38.500000, bin_dir: 38.600000, local_j = 385
dado: 16.530000, bin_esq: 16.500000, bin_dir: 16.600000, local_j = 165
dado: 82.910000, bin_esq: 82.900000, bin_dir: 83.000000, local_j = 829
dado: 97.130000, bin_esq: 97.100000, bin_dir: 97.200000, local_j = 971
dado: 16.170000, bin_esq: 16.100000, bin_dir: 16.200000, local_j = 161
dado: 81.910000, bin_esq: 81.900000, bin_dir: 82.000000, local_j = 819
dado: 20.070000, bin_esq: 20.000000, bin_dir: 20.100000, local_j = 200
dado: 53.440000, bin_esq: 53.400000, bin_dir: 53.500000, local_j = 534
dado: 24.670000, bin_esq: 24.600000, bin_dir: 24.700000, local_j = 246
dado: 66.550000, bin_esq: 66.500000, bin_dir: 66.600000, local_j = 665
dado: 20.150000, bin_esq: 20.100000, bin_dir: 20.200000, local_j = 201
dado: 61.210000, bin_esq: 61.200000, bin_dir: 61.300000, local_j = 612
dado: 66.230000, bin_esq: 66.200000, bin_dir: 66.300000, local_j = 662
dado: 0.750000, bin_esq: 0.700000, bin_dir: 0.800000, local_j = 7
dado: 51.310000, bin_esq: 51.300000, bin_dir: 51.400000, local_j = 513
dado: 1.150000, bin_esq: 1.100000, bin_dir: 1.200000, local_j = 11
dado: 23.210000, bin_esq: 23.200000, bin_dir: 23.300000, local_j = 232
dado: 53.950000, bin_esq: 53.900000, bin_dir: 54.000000, local_j = 539
dado: 4.360000, bin_esq: 4.300000, bin_dir: 4.400000, local_j = 43
dado: 90.160000, bin_esq: 90.100000, bin_dir: 90.200000, local_j = 901
dado: 67.850000, bin_esq: 67.800000, bin_dir: 67.900000, local_j = 678
dado: 58.680000, bin_esq: 58.600000, bin_dir: 58.700000, local_j = 586
dado: 5.200000, bin_esq: 5.200000, bin_dir: 5.300000, local_j = 52
dado: 46.920000, bin_esq: 46.900000, bin_dir: 47.000000, local_j = 469
dado: 14.950000, bin_esq: 14.900000, bin_dir: 15.000000, local_j = 149
dado: 87.450000, bin_esq: 87.400000, bin_dir: 87.500000, local_j = 874
dado: 62.150000, bin_esq: 62.100000, bin_dir: 62.200000, local_j = 621
dado: 8.700000, bin_esq: 8.700000, bin_dir: 8.800000, local_j = 87
dado: 62.030000, bin_esq: 62.000000, bin_dir: 62.100000, local_j = 620
dado: 57.010000, bin_esq: 57.000000, bin_dir: 57.100000, local_j = 570
dado: 53.370000, bin_esq: 53.300000, bin_dir: 53.400000, local_j = 533
dado: 63.840000, bin_esq: 63.800000, bin_dir: 63.900000, local_j = 638
dado: 14.820000, bin_esq: 14.800000, bin_dir: 14.900000, local_j = 148
dado: 93.570000, bin_esq: 93.500000, bin_dir: 93.600000, local_j = 935
dado: 64.740000, bin_esq: 64.700000, bin_dir: 64.800000, local_j = 647
dado: 33.670000, bin_esq: 33.600000, bin_dir: 33.700000, local_j = 336
dado: 57.930000, bin_esq: 57.900000, bin_dir: 58.000000, local_j = 579
dado: 54.050000, bin_esq: 54.000000, bin_dir: 54.100000, local_j = 540
dado: 4.230000, bin_esq: 4.200000, bin_dir: 4.300000, local_j = 42
dado: 43.450000, bin_esq: 43.400000, bin_dir: 43.500000, local_j = 434
dado: 1.170000, bin_esq: 1.100000, bin_dir: 1.200000, local_j = 11
dado: 12.850000, bin_esq: 12.800000, bin_dir: 12.900000, local_j = 128
dado: 68.370000, bin_esq: 68.300000, bin_dir: 68.400000, local_j = 683
dado: 71.200000, bin_esq: 71.100000, bin_dir: 71.200000, local_j = 711
dado: 87.520000, bin_esq: 87.500000, bin_dir: 87.600000, local_j = 875
dado: 1.870000, bin_esq: 1.800000, bin_dir: 1.900000, local_j = 18
dado: 33.380000, bin_esq: 33.300000, bin_dir: 33.400000, local_j = 333
dado: 38.460000, bin_esq: 38.400000, bin_dir: 38.500000, local_j = 384
dado: 4.090000, bin_esq: 4.000000, bin_dir: 4.100000, local_j = 40
dado: 36.520000, bin_esq: 36.500000, bin_dir: 36.600000, local_j = 365
dado: 21.290000, bin_esq: 21.200000, bin_dir: 21.300000, local_j = 212
dado: 64.370000, bin_esq: 64.300000, bin_dir: 64.400000, local_j = 643
dado: 48.200000, bin_esq: 48.100000, bin_dir: 48.200000, local_j = 481
dado: 36.120000, bin_esq: 36.100000, bin_dir: 36.200000, local_j = 361
dado: 4.790000, bin_esq: 4.700000, bin_dir: 4.800000, local_j = 47
dado: 88.500000, bin_esq: 88.500000, bin_dir: 88.600000, local_j = 885
dado: 3.540000, bin_esq: 3.500000, bin_dir: 3.600000, local_j = 35
dado: 29.250000, bin_esq: 29.200000, bin_dir: 29.300000, local_j = 292
dado: 28.680000, bin_esq: 28.600000, bin_dir: 28.700000, local_j = 286
dado: 68.740000, bin_esq: 68.700000, bin_dir: 68.800000, local_j = 687
dado: 52.750000, bin_esq: 52.700000, bin_dir: 52.800000, local_j = 527
dado: 14.440000, bin_esq: 14.400000, bin_dir: 14.500000, local_j = 144
dado: 2.280000, bin_esq: 2.200000, bin_dir: 2.300000, local_j = 22
dado: 64.720000, bin_esq: 64.700000, bin_dir: 64.800000, local_j = 647
dado: 19.770000, bin_esq: 19.700000, bin_dir: 19.800000, local_j = 197
dado: 9.040000, bin_esq: 9.000000, bin_dir: 9.100000, local_j = 90
dado: 8.500000, bin_esq: 8.500000, bin_dir: 8.600000, local_j = 85
dado: 77.040000, bin_esq: 77.000000, bin_dir: 77.100000, local_j = 770
dado: 55.060000, bin_esq: 55.000000, bin_dir: 55.100000, local_j = 550
dado: 87.600000, bin_esq: 87.600000, bin_dir: 87.700000, local_j = 876
dado: 1.790000, bin_esq: 1.700000, bin_dir: 1.800000, local_j = 17
dado: 99.520000, bin_esq: 99.500000, bin_dir: 99.600000, local_j = 995
dado: 4.090000, bin_esq: 4.000000, bin_dir: 4.100000, local_j = 40
dado: 83.040000, bin_esq: 83.000000, bin_dir: 83.100000, local_j = 830
dado: 4.570000, bin_esq: 4.500000, bin_dir: 4.600000, local_j = 45
dado: 51.480000, bin_esq: 51.400000, bin_dir: 51.500000, local_j = 514
dado: 3.230000, bin_esq: 3.200000, bin_dir: 3.300000, local_j = 32
dado: 90.160000, bin_esq: 90.100000, bin_dir: 90.200000, local_j = 901
dado: 25.740000, bin_esq: 25.700000, bin_dir: 25.800000, local_j = 257
dado: 82.520000, bin_esq: 82.500000, bin_dir: 82.600000, local_j = 825
dado: 80.880000, bin_esq: 80.800000, bin_dir: 80.900000, local_j = 808
dado: 44.510000, bin_esq: 44.500000, bin_dir: 44.600000, local_j = 445
dado: 12.380000, bin_esq: 12.300000, bin_dir: 12.400000, local_j = 123
dado: 96.170000, bin_esq: 96.100000, bin_dir: 96.200000, local_j = 961
dado: 29.300000, bin_esq: 29.200000, bin_dir: 29.300000, local_j = 292
dado: 85.200000, bin_esq: 85.200000, bin_dir: 85.300000, local_j = 852
dado: 74.940000, bin_esq: 74.900000, bin_dir: 75.000000, local_j = 749
dado: 18.250000, bin_esq: 18.200000, bin_dir: 18.300000, local_j = 182
dado: 57.610000, bin_esq: 57.600000, bin_dir: 57.700000, local_j = 576
dado: 87.830000, bin_esq: 87.800000, bin_dir: 87.900000, local_j = 878
dado: 72.700000, bin_esq: 72.600000, bin_dir: 72.700000, local_j = 726
dado: 43.330000, bin_esq: 43.300000, bin_dir: 43.400000, local_j = 433
dado: 98.770000, bin_esq: 98.700000, bin_dir: 98.800000, local_j = 987
dado: 42.970000, bin_esq: 42.900000, bin_dir: 43.000000, local_j = 429
dado: 68.460000, bin_esq: 68.400000, bin_dir: 68.500000, local_j = 684
dado: 74.390000, bin_esq: 74.300000, bin_dir: 74.400000, local_j = 743
dado: 57.520000, bin_esq: 57.500000, bin_dir: 57.600000, local_j = 575
dado: 42.020000, bin_esq: 42.000000, bin_dir: 42.100000, local_j = 420
dado: 24.150000, bin_esq: 24.100000, bin_dir: 24.200000, local_j = 241
dado: 94.190000, bin_esq: 94.100000, bin_dir: 94.200000, local_j = 941
dado: 3.900000, bin_esq: 3.800000, bin_dir: 3.900000, local_j = 38
dado: 88.990000, bin_esq: 88.900000, bin_dir: 89.000000, local_j = 889
dado: 38.250000, bin_esq: 38.200000, bin_dir: 38.300000, local_j = 382
dado: 35.070000, bin_esq: 35.000000, bin_dir: 35.100000, local_j = 350
dado: 99.880000, bin_esq: 99.800000, bin_dir: 99.900000, local_j = 998
dado: 70.330000, bin_esq: 70.300000, bin_dir: 70.400000, local_j = 703
dado: 16.420000, bin_esq: 16.400000, bin_dir: 16.500000, local_j = 164
dado: 97.780000, bin_esq: 97.700000, bin_dir: 97.800000, local_j = 977
dado: 18.010000, bin_esq: 18.000000, bin_dir: 18.100000, local_j = 180
dado: 57.090000, bin_esq: 57.000000, bin_dir: 57.100000, local_j = 570
dado: 38.280000, bin_esq: 38.200000, bin_dir: 38.300000, local_j = 382
dado: 23.300000, bin_esq: 23.200000, bin_dir: 23.300000, local_j = 232
dado: 53.460000, bin_esq: 53.400000, bin_dir: 53.500000, local_j = 534
dado: 45.770000, bin_esq: 45.700000, bin_dir: 45.800000, local_j = 457
dado: 5.190000, bin_esq: 5.100000, bin_dir: 5.200000, local_j = 51
dado: 65.380000, bin_esq: 65.300000, bin_dir: 65.400000, local_j = 653
dado: 32.460000, bin_esq: 32.400000, bin_dir: 32.500000, local_j = 324
dado: 82.310000, bin_esq: 82.300000, bin_dir: 82.400000, local_j = 823
dado: 40.030000, bin_esq: 40.000000, bin_dir: 40.100000, local_j = 400
dado: 4.400000, bin_esq: 4.300000, bin_dir: 4.400000, local_j = 43
dado: 29.890000, bin_esq: 29.800000, bin_dir: 29.900000, local_j = 298
dado: 32.630000, bin_esq: 32.600000, bin_dir: 32.700000, local_j = 326
dado: 97.490000, bin_esq: 97.400000, bin_dir: 97.500000, local_j = 974
dado: 31.700000, bin_esq: 31.600000, bin_dir: 31.700000, local_j = 316
dado: 71.120000, bin_esq: 71.100000, bin_dir: 71.200000, local_j = 711
dado: 4.670000, bin_esq: 4.600000, bin_dir: 4.700000, local_j = 46
dado: 93.920000, bin_esq: 93.900000, bin_dir: 94.000000, local_j = 939
dado: 43.890000, bin_esq: 43.800000, bin_dir: 43.900000, local_j = 438
dado: 65.360000, bin_esq: 65.300000, bin_dir: 65.400000, local_j = 653
dado: 64.720000, bin_esq: 64.700000, bin_dir: 64.800000, local_j = 647
dado: 0.530000, bin_esq: 0.500000, bin_dir: 0.600000, local_j = 5
dado: 38.660000, bin_esq: 38.600000, bin_dir: 38.700000, local_j = 386
dado: 71.460000, bin_esq: 71.400000, bin_dir: 71.500000, local_j = 714
dado: 40.260000, bin_esq: 40.200000, bin_dir: 40.300000, local_j = 402
dado: 78.280000, bin_esq: 78.200000, bin_dir: 78.300000, local_j = 782
dado: 4.500000, bin_esq: 4.400000, bin_dir: 4.500000, local_j = 44
dado: 55.660000, bin_esq: 55.600000, bin_dir: 55.700000, local_j = 556
dado: 55.860000, bin_esq: 55.800000, bin_dir: 55.900000, local_j = 558
dado: 70.660000, bin_esq: 70.600000, bin_dir: 70.700000, local_j = 706
dado: 57.690000, bin_esq: 57.600000, bin_dir: 57.700000, local_j = 576
dado: 80.160000, bin_esq: 80.100000, bin_dir: 80.200000, local_j = 801
dado: 77.600000, bin_esq: 77.600000, bin_dir: 77.700000, local_j = 776
dado: 12.670000, bin_esq: 12.600000, bin_dir: 12.700000, local_j = 126
dado: 43.350000, bin_esq: 43.300000, bin_dir: 43.400000, local_j = 433
dado: 45.670000, bin_esq: 45.600000, bin_dir: 45.700000, local_j = 456
dado: 30.390000, bin_esq: 30.300000, bin_dir: 30.400000, local_j = 303
dado: 47.040000, bin_esq: 47.000000, bin_dir: 47.100000, local_j = 470
dado: 86.010000, bin_esq: 86.000000, bin_dir: 86.100000, local_j = 860
dado: 54.930000, bin_esq: 54.900000, bin_dir: 55.000000, local_j = 549
dado: 43.970000, bin_esq: 43.900000, bin_dir: 44.000000, local_j = 439
dado: 3.180000, bin_esq: 3.100000, bin_dir: 3.200000, local_j = 31
dado: 50.700000, bin_esq: 50.600000, bin_dir: 50.700000, local_j = 506
dado: 50.650000, bin_esq: 50.600000, bin_dir: 50.700000, local_j = 506
dado: 80.730000, bin_esq: 80.700000, bin_dir: 80.800000, local_j = 807
dado: 40.540000, bin_esq: 40.500000, bin_dir: 40.600000, local_j = 405
dado: 96.790000, bin_esq: 96.700000, bin_dir: 96.800000, local_j = 967
dado: 9.270000, bin_esq: 9.200000, bin_dir: 9.300000, local_j = 92
dado: 47.460000, bin_esq: 47.400000, bin_dir: 47.500000, local_j = 474
dado: 96.810000, bin_esq: 96.800000, bin_dir: 96.900000, local_j = 968
dado: 92.210000, bin_esq: 92.200000, bin_dir: 92.300000, local_j = 922
dado: 68.770000, bin_esq: 68.700000, bin_dir: 68.800000, local_j = 687
dado: 46.320000, bin_esq: 46.300000, bin_dir: 46.400000, local_j = 463
dado: 40.250000, bin_esq: 40.200000, bin_dir: 40.300000, local_j = 402
dado: 48.500000, bin_esq: 48.400000, bin_dir: 48.500000, local_j = 484
dado: 65.100000, bin_esq: 65.000000, bin_dir: 65.100000, local_j = 650
dado: 93.620000, bin_esq: 93.600000, bin_dir: 93.700000, local_j = 936
dado: 56.180000, bin_esq: 56.100000, bin_dir: 56.200000, local_j = 561
dado: 23.500000, bin_esq: 23.400000, bin_dir: 23.500000, local_j = 234
dado: 6.150000, bin_esq: 6.100000, bin_dir: 6.200000, local_j = 61
dado: 28.980000, bin_esq: 28.900000, bin_dir: 29.000000, local_j = 289
dado: 89.380000, bin_esq: 89.300000, bin_dir: 89.400000, local_j = 893
dado: 84.420000, bin_esq: 84.400000, bin_dir: 84.500000, local_j = 844
dado: 96.860000, bin_esq: 96.800000, bin_dir: 96.900000, local_j = 968
dado: 88.960000, bin_esq: 88.900000, bin_dir: 89.000000, local_j = 889
dado: 76.190000, bin_esq: 76.100000, bin_dir: 76.200000, local_j = 761
dado: 24.850000, bin_esq: 24.800000, bin_dir: 24.900000, local_j = 248
dado: 22.660000, bin_esq: 22.600000, bin_dir: 22.700000, local_j = 226
dado: 36.780000, bin_esq: 36.700000, bin_dir: 36.800000, local_j = 367
dado: 58.850000, bin_esq: 58.800000, bin_dir: 58.900000, local_j = 588
dado: 87.930000, bin_esq: 87.900000, bin_dir: 88.000000, local_j = 879
dado: 16.380000, bin_esq: 16.300000, bin_dir: 16.400000, local_j = 163
dado: 55.040000, bin_esq: 55.000000, bin_dir: 55.100000, local_j = 550
dado: 10.140000, bin_esq: 10.100000, bin_dir: 10.200000, local_j = 101
dado: 93.960000, bin_esq: 93.900000, bin_dir: 94.000000, local_j = 939
dado: 73.790000, bin_esq: 73.700000, bin_dir: 73.800000, local_j = 737
dado: 99.850000, bin_esq: 99.800000, bin_dir: 99.900000, local_j = 998
dado: 69.570000, bin_esq: 69.500000, bin_dir: 69.600000, local_j = 695
dado: 7.260000, bin_esq: 7.200000, bin_dir: 7.300000, local_j = 72
dado: 35.580000, bin_esq: 35.500000, bin_dir: 35.600000, local_j = 355
dado: 81.160000, bin_esq: 81.100000, bin_dir: 81.200000, local_j = 811
dado: 1.010000, bin_esq: 1.000000, bin_dir: 1.100000, local_j = 10
dado: 14.960000, bin_esq: 14.900000, bin_dir: 15.000000, local_j = 149
dado: 0.770000, bin_esq: 0.700000, bin_dir: 0.800000, local_j = 7
dado: 94.450000, bin_esq: 94.400000, bin_dir: 94.500000, local_j = 944
dado: 76.580000, bin_esq: 76.500000, bin_dir: 76.600000, local_j = 765
dado: 53.270000, bin_esq: 53.200000, bin_dir: 53.300000, local_j = 532
dado: 15.910000, bin_esq: 15.900000, bin_dir: 16.000000, local_j = 159
dado: 86.430000, bin_esq: 86.400000, bin_dir: 86.500000, local_j = 864
dado: 77.090000, bin_esq: 77.000000, bin_dir: 77.100000, local_j = 770
dado: 34.140000, bin_esq: 34.100000, bin_dir: 34.200000, local_j = 341
dado: 36.680000, bin_esq: 36.600000, bin_dir: 36.700000, local_j = 366
dado: 75.560000, bin_esq: 75.500000, bin_dir: 75.600000, local_j = 755
dado: 81.630000, bin_esq: 81.600000, bin_dir: 81.700000, local_j = 816
dado: 35.680000, bin_esq: 35.600000, bin_dir: 35.700000, local_j = 356
dado: 57.540000, bin_esq: 57.500000, bin_dir: 57.600000, local_j = 575
dado: 47.280000, bin_esq: 47.200000, bin_dir: 47.300000, local_j = 472
dado: 70.250000, bin_esq: 70.200000, bin_dir: 70.300000, local_j = 702
dado: 70.580000, bin_esq: 70.500000, bin_dir: 70.600000, local_j = 705
dado: 74.790000, bin_esq: 74.700000, bin_dir: 74.800000, local_j = 747
dado: 13.980000, bin_esq: 13.900000, bin_dir: 14.000000, local_j = 139
dado: 10.200000, bin_esq: 10.200000, bin_dir: 10.300000, local_j = 102
dado: 11.950000, bin_esq: 11.900000, bin_dir: 12.000000, local_j = 119
dado: 65.120000, bin_esq: 65.100000, bin_dir: 65.200000, local_j = 651
dado: 69.540000, bin_esq: 69.500000, bin_dir: 69.600000, local_j = 695
dado: 63.310000, bin_esq: 63.300000, bin_dir: 63.400000, local_j = 633
dado: 6.000000, bin_esq: 6.000000, bin_dir: 6.100000, local_j = 60
dado: 86.530000, bin_esq: 86.500000, bin_dir: 86.600000, local_j = 865
dado: 72.310000, bin_esq: 72.300000, bin_dir: 72.400000, local_j = 723
dado: 57.670000, bin_esq: 57.600000, bin_dir: 57.700000, local_j = 576
dado: 29.230000, bin_esq: 29.200000, bin_dir: 29.300000, local_j = 292
dado: 46.630000, bin_esq: 46.600000, bin_dir: 46.700000, local_j = 466
dado: 50.610000, bin_esq: 50.600000, bin_dir: 50.700000, local_j = 506
dado: 20.140000, bin_esq: 20.100000, bin_dir: 20.200000, local_j = 201
dado: 58.770000, bin_esq: 58.700000, bin_dir: 58.800000, local_j = 587
dado: 21.540000, bin_esq: 21.500000, bin_dir: 21.600000, local_j = 215
dado: 11.370000, bin_esq: 11.300000, bin_dir: 11.400000, local_j = 113
dado: 95.300000, bin_esq: 95.300000, bin_dir: 95.400000, local_j = 953
dado: 25.780000, bin_esq: 25.700000, bin_dir: 25.800000, local_j = 257
dado: 84.490000, bin_esq: 84.400000, bin_dir: 84.500000, local_j = 844
dado: 18.440000, bin_esq: 18.400000, bin_dir: 18.500000, local_j = 184
dado: 17.700000, bin_esq: 17.700000, bin_dir: 17.800000, local_j = 177
dado: 25.310000, bin_esq: 25.300000, bin_dir: 25.400000, local_j = 253
dado: 29.730000, bin_esq: 29.700000, bin_dir: 29.800000, local_j = 297
dado: 70.550000, bin_esq: 70.500000, bin_dir: 70.600000, local_j = 705
dado: 64.520000, bin_esq: 64.500000, bin_dir: 64.600000, local_j = 645
dado: 16.630000, bin_esq: 16.600000, bin_dir: 16.700000, local_j = 166
dado: 90.860000, bin_esq: 90.800000, bin_dir: 90.900000, local_j = 908
dado: 42.390000, bin_esq: 42.300000, bin_dir: 42.400000, local_j = 423
dado: 38.720000, bin_esq: 38.700000, bin_dir: 38.800000, local_j = 387
dado: 17.810000, bin_esq: 17.800000, bin_dir: 17.900000, local_j = 178
dado: 61.080000, bin_esq: 61.000000, bin_dir: 61.100000, local_j = 610
dado: 76.550000, bin_esq: 76.500000, bin_dir: 76.600000, local_j = 765
dado: 25.970000, bin_esq: 25.900000, bin_dir: 26.000000, local_j = 259
dado: 81.810000, bin_esq: 81.800000, bin_dir: 81.900000, local_j = 818
dado: 59.340000, bin_esq: 59.300000, bin_dir: 59.400000, local_j = 593
